キャラ	EXスキル名	EXスキル詳細
コユキ	トリッキーな変数	円形範囲内の敵に対して、爆弾1個を投擲しダメージを与えます。\n銃弾：攻撃力の444%分のダメージ\n電界：攻撃力の421%分のダメージ\n爆炎：攻撃力の398%分のダメージ
ミドリ	ドローイングアート	最大で敵5人に対して、順番にそれぞれ攻撃力の191%分のダメージ\n同じ部隊にモモイがいる場合はさらに、攻撃力の51.8%分の中毒系持続ダメージを付与(20秒間)
シロコ	ドローン召喚：火力支援	敵1人に対して、攻撃力の760％分のダメージ
アル	ハードボイルドショット	敵1人に対して、攻撃力の521%分のダメージ\nさらに、円形範囲内の敵に攻撃力の554％分のダメージ
アル（正月）	ハードボイルド・羽根つきショット	保有していた「悪行」1つにつき、スキルコストを0.7獲得(「悪行」の数は初期化されます)\n敵1人に対して、攻撃力の340%分のダメージ。\n打った羽根を中心として周囲にまだ攻撃が当たっていない敵がいる場合、羽根が飛んで再度攻撃力の340%分のダメージを与えます（最大11回まで）
カヨコ	パニックブリンガー	円形範囲内の敵に、攻撃力の558%分のダメージ\n恐怖状態の付与(5.1秒)
カホ	ファンたるもの	敵1人に対して攻撃力の1415%分のダメージ
コトリ	ブラックボックス	円形範囲内の味方4人を指定した位置に移動させた後、治癒力の334%分のシールド効果を発動(13秒間)
ウイ（水着）	プライベートカフェ	自身を中心とした円形範囲内の自身を除く味方4人を自身の位置に移動させた後、貫通特効を70.1%加算(45秒間)
ミチル	ミチル流忍法っ！！	花火を発射。直線上に飛び、最初に命中した敵1体に対して、攻撃力の803％分のダメージ\nさらに攻撃力の194％分の火傷持続ダメージを付与(20秒間)
シロコ（ライディング）	ライド＆グレネード	円形範囲内の敵に対して､攻撃力の690%分のダメージ\nさらに攻撃力を50%減少(10秒間)
イオリ	一網打尽	銃弾を3回発射。攻撃した敵と、その後ろ扇形範囲内の敵に対して、それぞれ攻撃力の666％分のダメージ
エイミ	不屈の意志	治癒力の16.4%＋失ったHPの3.4％分の持続回復を付与(20秒間)
アリス	世界の 法則が 崩壊します！	直線範囲内の敵に対して、攻撃力の591％分のダメージを与える\nエネルギーのチャージ段階によってダメージ量が1.5倍あるいは2倍に増加。\n発射後、エネルギーのチャージ段階は初期化されます。
マキ	世界をもっと色鮮やかに！	敵1人に対して、攻撃力の1081％分のダメージ\n攻撃力を54.5%増加(30秒間)
ハルカ	乱れ撃ち	扇形範囲内の敵に対して、攻撃力の1560%分のダメージ
キリノ	交渉はここまでですね……！	指定した範囲の敵に対して、攻撃力の540%分のダメージ\n煙幕(20秒間)が出現し、その範囲内の敵の命中値を30%減少
アカネ	優雅に排除します	敵1人に対して、攻撃力の876%分のダメージ\nさらに防御力を37.7%減少(30秒間)
ヒフミ	助けて、ペロロ様！	ペロロ人形が出現し、円型範囲内の敵に対して攻撃力386%分のダメージ\nさらに挑発状態を付与(3.9秒間)\nペロロ人形はヒフミの最大HPの160%の分のHPを持ちます。
ウイ	古書の専門家	自身を除く味方1人のスキルコストを最大で50%減少(Exスキルの使用2回分)\n(ただし減少値は小数点以下切り捨て)\n攻撃力を16.1%増加(46秒間)
モミジ	図書館ではお静かに	円形範囲内の敵に対して、攻撃力の356%分のダメージ
チセ（水着）	夏の海辺、ふぃ～ば～	最大で敵3人に対して、順番にそれぞれ榴弾発射。さらに対象を中心とした円形範囲内の敵に対して、それぞれ攻撃力の372%分のダメージを与え、気絶状態を付与(2.7秒間)\n対象がすでにCC状態の場合、攻撃力の744%分のダメージを与え、気絶状態を付与(5.3秒間)
ルミ	天下一味！	自身を除く味方1人に対してチャーハンを渡して回復、対象の付近にまだ回復を受けていない味方がいる場合、チャーハンがその方向に跳ねてHP回復(最大4回まで)\n1番目、4番目の対象：治癒力の223%分の回復、弱体状態を1つ解除\n2番目、3番目の対象：治癒力の156%分の回復
ツルギ	奇奇怪怪	スキル発動後すぐにリロード\n通常攻撃を攻撃力の138%分のダメージを与える扇形範囲攻撃に変更\n攻撃力を45.2%増加(リロードを2回行うまで有効)
アコ（ドレス）	完璧なエージェント	円形範囲内の味方の会心値を19.8%増加、会心ダメージ率を57.5%増加(30秒間)\nさらに味方1人当たり、自身の「警護成功」を1個追加(最大15個まで)
ミユ	小心者の観測	敵1人に対して弱点把握状態を付与(10秒間)\n弱点把握状態の敵への攻撃時に、ミユの攻撃力の30%分の追加ダメージ\n(このダメージにおいては、会心が発動しません)\n(最大120発分まで適用されます)
ヒビキ（応援団）	少し暑いかもしれない	円形範囲内の敵に攻撃力の140%分のダメージ\n攻撃力の47.9%分の応援の熱気持続ダメージを付与(120秒間)
御坂美琴	常盤台の超電磁砲	直線範囲内の敵に対して、攻撃力の1034%分のダメージ
食蜂操祈	心理掌握	指定した相手およびその円形範囲内の最も近い敵2人に対して、攻撃力の1468%分のダメージ\n混乱状態を付与(7秒間)
シュン	悪い子はどこですか？	通常攻撃を153％ダメージに強化、通常攻撃の射程を24.4%増加、会心値を50%増加、攻撃速度を18.8%減少(30秒間)
ホシノ	戦術的鎮圧	扇状範囲内の敵に対して、攻撃力の697%分のダメージ\nさらに気絶状態を付与(1.4秒間)
チナツ（温泉）	戦闘用A型エネルギー剤	自身を除き、味方1人の攻撃速度を60%増加(30秒間)
ツバキ	戦闘用シールド、装着	防御力を44.9%増加(30秒間)\n円形範囲内の敵に挑発状態を付与(6.2秒間)
レイサ	挑戦状を受け取ってください！	扇形範囲内の敵に対して、攻撃力の707%分のダメージ\n自身の弱体状態を1つ解除
カヨコ（正月）	新年のお守り	自身を除く味方1人に対して神秘特効を92.8%加算(40秒間)\n「お守り」状態を付与
メル	最強のアイデア	敵1人に対して、攻撃力の173%分のダメージ\n攻撃力329%分の火傷持続ダメージを付与(30秒間)\nさらに弱点把握状態を適用(30秒)\n弱点把握状態の敵への攻撃時に、メルの攻撃力の2.5%分の追加ダメージ\n(このダメージにおいては、会心が発動しません)\n(最大480発分まで適用されます)
ヒナタ	最終手段	5つの円形範囲内の敵に対して、攻撃力の476%分のダメージ
ツルギ（水着）	止まらない奔流	通常攻撃を攻撃力の167%分の追加ダメージを与える攻撃に変更(30秒間)
ホシノ（水着）	水上支援	自分を中心とした円形範囲内の味方の攻撃力を38.5%増加、爆発特効を99%加算(50秒間)
サクラコ	洗礼の印	敵1人に対して攻撃力の625%分のダメージ\n指定した敵に対して集中砲火状態(30秒間)\n通常攻撃時、攻撃力の17.9%分の追加ダメージ効果を与えます。(30秒間)
ノノミ（水着）	涼しくな～れ♧	敵1人に対して、攻撃力の1113％分のダメージ\n装弾数を100消耗する時まで通常攻撃のディレイを4回無視する通常攻撃に変更\n発動後すぐにリロード
ワカモ	深紅の花占い	敵1人に対して、攻撃力の325%分のダメージ\nその後、味方がその敵に与えたダメージは10秒間蓄積されていき、その後蓄積した分の神秘タイプのダメージを与えます。\n(ダメージの蓄積は最大でワカモの攻撃力の1322%まで)\n(10秒後に発動する神秘タイプのダメージにおいては、会心が発動しません)
ムツキ	灼熱のセレナーデ	3つの円型範囲内の敵に攻撃力の778%分のダメージ
ハレ（キャンプ）	焚き火の甘味	自身を除く味方1人に対して、攻撃力を80.4%増加(26秒間)\nさらに自身にホクホクの焼き芋を5個付与(最大15個まで重複)
コタマ（キャンプ）	熊よけ鈴投げ	敵1人に対して、攻撃力の906%分のダメージ\n混乱状態を付与(11.5秒間)
メグ	熱いの好きだよね～！	扇形範囲内の敵に攻撃力の619%分ダメージ\n自身の攻撃力を19.2%増加、通常攻撃のディレイ無視(30秒間)
トキ（バニーガール）	特殊武器：アームギア	敵1人に対して、攻撃力の1045%分のダメージ
モモイ	生みの苦しみ	扇形範囲内の敵に対して、攻撃力の541%分のダメージ\n同じ部隊にミドリがいる場合はさらに、攻撃力の93.6%分の火傷持続ダメージを付与(20秒間)
イオリ（水着）	疾風怒濤	円形範囲内の敵に対して、攻撃力の880%分のダメージ
レンゲ	百花繚乱式射撃術	扇形範囲内の敵に対して攻撃力の27.6%分の火傷持続ダメージを付与(20秒間)\nさらに攻撃力の501.5%分のダメージ
コトリ（応援団）	祝砲の由来は……	扇形範囲内の敵に対して、攻撃力の390%分のダメージ
セリナ（クリスマス）	祝福の響き	自身を除く円形範囲内の味方に対して、会心ダメージ率を43.5%増加(50秒間)\n「聖夜の祝福」を1個獲得(「聖夜の祝福」は最大15個まで重複)\n獲得された「聖夜の祝福」数×3.7%の貫通特効を加算(50秒間)
キキョウ	神機妙算の一手	十字範囲内の敵に対して防御力を28.1%減少(30秒間)\n攻撃力の480%分のダメージ
ワカモ（水着）	秘色の花占い	敵1人に対して攻撃力の1074％分のダメージ\n攻撃時に気絶状態を付与(1.1秒間)\n最後の攻撃は気絶状態を付与(4.1秒間)
ジュンコ	空腹のイライラ	直線範囲内の敵に対して、攻撃力の1417%分のダメージ/自身の現在のHPが25.7%減少
ミナ	竜虎相搏	敵1人に対して、攻撃力の593%分のダメージ\nさらに攻撃力、回避値、命中値を30.2%減少(50秒間)
ヒナ	終幕：イシュ・ボシェテ	扇形範囲内の敵に対して、攻撃力の1208%分のダメージ
ヒナ（水着）	絶海：イシュ・ボシェテ	扇形範囲内の敵最大5人に対して、攻撃力の441%分のダメージ
ハルナ（正月）	美食家の怒り	最大で敵5人に対して、順番にそれぞれ攻撃力202%分のダメージを与え、\n周囲の円形範囲内の敵に対して、攻撃力の98.7%分のダメージ
ミヤコ	自走式閃光ドローン	敵一人に対して、攻撃力の545%分のダメージ\nさらに気絶状態を付与(5.5秒間)
アル（ドレス）	興味深い提案	自身の除く味方1人に対して、会心ダメージ率を一定時間増加
ミサキ	虚しい世界	7つの円形範囲内の敵に4秒毎に攻撃力14.3%分のダメージ(48秒間)\n(EXスキル使用時、以前に使用したEXスキル効果の範囲が消えます)
アスナ	行っくよー！	スキルの使用中、回避値を43.4%増加\n攻撃速度を57.3%増加(30秒間)
チェリノ	親衛隊、集合！	円形範囲内の敵に攻撃力605％分のダメージ
ノア	記録はスピードが命ですから	指定した敵1人に対して集中砲火状態(40秒間)\n防御力を40.5%減少(40秒間)
ミネ	誇りと信念	指定した位置に移動し、円形範囲内の敵に対して、攻撃力の196%分のダメージ\n回避値と防御力を13%減少(40秒間)\n対象が中型の敵の場合は、回避値と防御力の減少値が元の2.5倍に強化される。
ハルナ	貫くエレガンス	直線範囲内の敵に対して、攻撃力の887%分のダメージ\n敵を貫通するたびにダメージが10%減少(最小で30%ダメージまで)
カリン（バニーガール）	迅速に、正確に	扇形範囲内の敵に対して、攻撃力の521%分のダメージ\n(この攻撃は敵の防御力を48%無視します)
ムツキ（正月）	迎春のシンフォニー	アーチ型範囲内の敵に対して、攻撃力の302%分のダメージ
フィーナ	連射モード、デス！	攻撃力を46.6%増加、通常攻撃のディレイ5回無視(30秒間)\n発動後すぐにリロード
セリカ	邪魔よ！	スキル発動後すぐにリロード\n攻撃力を67.7%増加(30秒間)
ハスミ（体操服）	鋼の意志のピアッシング弾	敵1人に対して攻撃力859%分のダメージ\n追加で最大2コストを消耗して、1コストあたりのダメージが30%増加します。\n(コスト増減スキルの効果は基本コストを基準として計算します)
ヒナ（ドレス）	開演：イシュ・ボシュテ	集中射撃体勢に転換(10秒間)\n集中射撃体勢では通常攻撃と移動することはできない\n(CC状態になった場合、集中射撃体勢は解除される)
ヒナ（ドレス）*1	旋律の一音目	COST:0\n直線範囲内の敵に対して、攻撃力の618%分のダメージ\n敵を貫通する度にダメージが45%減少(最少で10%ダメージまで)\nこの攻撃は安定値に影響されず最大ダメージが適用される\n次の射撃のため集中射撃体勢を維持したままフォーム転換(10秒間)
ヒナ（ドレス）*2	旋律の二音目	COST:0\n直線範囲内の敵に対して、攻撃力の618%分のダメージ\n敵を貫通する度にダメージが45%減少(最少で10%ダメージまで)\nこの攻撃は安定値に影響されず最大ダメージが適用される\n次の射撃のため集中射撃体勢を維持したままフォーム転換(10秒間)
ヒナ（ドレス）*3	終演の旋律	COST:0\n直線範囲内の敵に対して、攻撃力の1288%分のダメージ\n敵を貫通する度にダメージが45%減少(最少で10%ダメージまで)\nこの攻撃は安定値に影響されず最大ダメージが適用される\n射撃後、集中射撃体勢解除
ウタハ（応援団）	雷ちゃんMK-Ⅲ、強化	ターレットを強化します(90秒間)\nターレットは強化状態が維持される間、通常攻撃が攻撃力の146%分のダメージを与えるように変更され、ノーマルスキルの発動条件が変更されます。
マリナ	革命的突撃！	アーチ型範囲内の敵に対して、攻撃力の636%分のダメージ/さらに被回復率を45.5%減少(30秒間)
ミヤコ（水着）	飛行ドローン稼働	敵1人の会心ダメージ抵抗率を20.3%減少(50秒間)\nさらに攻撃力の487%分ダメージ
ジュンコ（正月）	食べ物の恨み	円形範囲内の敵に対して、攻撃力の653%分のダメージ
ノドカ（温泉）	227号温泉郷、営業開始です！	ノドカ(温泉)が登場。3秒毎に、ノドカ(温泉)を中心とした円形範囲内のHPが最も低い味方1人に対して、おやつを投擲(32秒間)\n温泉饅頭:治癒力の38.6%分の回復\nうんめえ棒:治癒力の47.1%分の回復\n牛乳:治癒力の55.7%分の回復
ハレ	EMPドローン展開	円形範囲内の敵に対して、攻撃力の435%分のダメージ\nさらに気絶状態を付与(3.5秒間)
ナギサ	Time On Target	円形範囲内の敵に対して、攻撃力の772%分のダメージ\n攻撃対象が軽装備の場合、攻撃前に防御力を40.2%減少(15秒間)
ヒヨリ	い、今支援します！	銃弾を発射。直線上に飛び、最初に命中した敵1体に対して、攻撃力の331%分のダメージ\nさらに同じ部隊に編成されているアリウススクワッドの生徒が2人以下の場合は、命中した敵の防御力を30.1%、3人以上の場合は、命中した敵の防御力を51.6%減少(30秒間)
初音ミク	この一瞬一瞬に、心を込めて！	円形範囲内の味方に対して、治癒力の144％分の回復\nミクが踊っている間(26秒間)、円形範囲内にいる味方の攻撃力を34％増加
ヒビキ	これは高確率で痛いよ	5つの円形範囲内の敵に対して、攻撃力の591％分のダメージ
ヨシミ	だ、誰が慌ててるって！？	円形範囲内の敵に対して、攻撃力の353％分のダメージ\nさらに気絶状態を付与(2.9秒間)
サヤ（私服）	ぼく様からのプレゼントなのだ！	直線範囲内の敵に対して、攻撃力の75.9%分の持続ダメージを付与(20秒間)
サヤ	ぼく様の傑作なのだ！	円型範囲内の敵に対して、攻撃力の239分の持続ダメージを付与(8秒間)
マコト	ま、間違えたあ！	円形範囲内の敵の数によって、範囲内の敵に対して、\n5人以下：攻撃力の296%分のダメージ\n6人～10人：攻撃力の592%分のダメージ\n11人以上：攻撃力の987%分のダメージ
チヒロ	オーバーライド	敵1人に対して、攻撃力の412%分のダメージ\nその敵の防御タイプが重装甲の場合、さらに気絶状態を付与(7.5秒間)
ミユ（水着）	カモメの襲撃	直線範囲内の敵に対して、攻撃力の737%分の確定会心ダメージ
ヒフミ（水着）	クルセイダーちゃん、お願いします！	クルセイダーちゃんに搭乗したヒフミが登場。クルセイダーちゃんはヒフミの攻撃力の36.8%分の値が追加された攻撃力を持ちます。(50秒間)\n(タクティカルサポートの搭乗物は重複して登場することはできません)\n\nクルセイダーちゃんは20秒毎に、スキル「2ポンド砲に榴弾、装填しました！」を発動し、円形範囲内の敵に対して攻撃力の359%分のダメージを与えます。
シグレ（温泉）	シグレ特製フルーツ牛乳	円形範囲内の味方に対して4秒毎に、治癒力の40.4%分の回復(30秒間)
ジュリ	ジュリのクッキングタイム！	円形範囲内の敵4人を指定した位置に移動させた後、攻撃力の112%分の中毒系持続ダメージを付与(20秒間)
カリン	ターゲット、排除する	敵1人に対して、攻撃力の1099%分のダメージ\n超大型の敵には625%分の追加ダメージ
セリカ（正月）	バイトの邪魔よ！	アーチ型範囲内の敵に対して、攻撃力の395%分のダメージ\nさらに会心ダメージ率27.7%減少(30秒間)
佐天涙子	フルスイング	円形範囲内の敵に攻撃力の847%分のダメージ
ハナエ（クリスマス）	プレゼントの時間ですよ～	円形範囲内の味方に対して、「聖夜の祝福」を1個獲得(「聖夜の祝福」は最大15個まで重複)\n治癒力の13.4%分の持続回復を付与(60秒間)\n獲得された「永屋の祝福」数×治癒力の0.7%分で持続回復を強化
アカネ（バニーガール）	丁寧に準備します	範囲内に入ったら自動で爆発し、攻撃力の667%分のダメージを与える地雷を設置(90秒間)
カエデ	信号弾、発射！！	円形範囲内の味方に対して、治癒力の275%分のシールド効果を発動(16秒間)
アコ	偵察データを共有します	味方1人に対して、会心値を39.5%増加\nさらに会心ダメージ率を73.3%増加(16秒間)
コタマ	傍受開始	円形範囲内の味方の攻撃力を47.4%増加(30秒間)
カンナ	公安局長の手腕	敵1人に対して攻撃力の84.7%分のダメージ\nその後、味方がその敵に与えたダメージの50%を15秒間蓄積されていき、その後蓄積した分の貫通タイプのダメージを与えます。\n(ダメージの蓄積は最大でカンナの攻撃力の2691%分まで)\n(15秒後に発動する貫通タイプのダメージにおいては、会心が発動しません)
シズコ（水着）	出張、夏の百夜堂出店！	円形範囲内の味方4人を指定した位置に移動させた後、治癒力の145%分のシールド効果を発動(30秒間)
アイリ	勿体ないけど…えぇいっ！	円形範囲内の敵に対して、攻撃力の464％分のダメージ\nさらに移動速度を22.8％減少、攻撃速度を26.2%減少(20秒間)
ミモリ（水着）	夏ですね！	遮蔽物を設置\n円形範囲内の味方の攻撃速度を31.6%増加(20秒間)\n遮蔽物はミモリ(水着)のHPの94.1%分の値が追加されたHPを持ちます。
シロコ（水着）	大物だ	敵1人の防御力を34.2%減少(30秒間)\nさらに攻撃力の1117%分のダメージ
ミノリ	奮い立て！	円形範囲内の敵に対して、攻撃力の878%分のダメージ\n追加で最大3コストを消耗して、1コストあたりのダメージが35%増加します。\n(コスト増減スキルの効果は基本コストを基準として計算します)
ヒマリ	実力をお見せしましょう	味方1人に対して、攻撃力の105%増加(13秒間)
チナツ	戦傷治療	味方1人に対して、治癒力の342%分の回復\nさらに弱体状態を1つ解除
サキ	支援射撃、開始！	円形範囲内の敵に対して、攻撃力の666%分のダメージ\nさらに気絶状態を付与(5.1秒間)
アヤネ	支援特急便	円形範囲内の味方に対して、治癒力の224％分の回復
ヒナタ（水着）	楽しい水遊び	円形範囲内の敵に対して、攻撃力の911%分のダメージ\n(この攻撃は敵の防御力を80%無視します)
マシロ	正義の一撃	敵1人に対して、攻撃力の664％分のダメージ\n75％の確率で、716％分の追加ダメージ
マシロ（水着）	正義の洗礼	敵1人の回避値を39.1%減少(30秒間)\nさらに攻撃力の1025%分のダメージ
ハナエ	治療のお時間ですよ~！	味方1人に対して、治癒力の102%分の持続回復を付与(20秒間)
ユズ（メイド）	潜入スタート！	円形範囲内の敵に対して、攻撃力1296%分のダメージ、周囲の円環範囲に同じ分のダメージ\nただし重複して受けたダメージは攻撃力の259%分のダメージだけ適用
シズコ	百夜堂出張サービス	遮蔽物を設置\n円形範囲内の味方の命中値を21.3％増加(30秒間)\n遮蔽物はシズコのHPの46.8％分の値が追加されたHPを持ちます。
シミコ	知識の盾	遮蔽物を設置\n円形範囲内の味方の防御力を26.2%増加(30秒間)\n遮蔽物はシミコのHPの38%分の値が追加されたHPを持ちます。
ハナコ	禁じられた遊びを始めましょう	円形範囲内の味方に対して、治癒力の51.1%分の持続回復を付与(8秒間)
チェリノ（温泉）	粛清君1号、出撃！	粛清君1号に搭乗したチェリノが登場。\n粛清君1号はチェリノの攻撃力の17.1%分の値が追加された攻撃力を持ちます。(50秒間)\n粛清君1号は通常攻撃3回毎に、スキル「すべてを蹴散らしてしまえ！」を発動し、敵1人に対して攻撃力の216%分のダメージ、さらに攻撃し敵とその後ろ扇形範囲内の敵に対して攻撃力の324%分のダメージを与えます。\n(タクティカルサポートの搭乗物は重複して登場することはできません)
フウカ	給食の時間です！	円形範囲内の味方4人を指定した位置に移動させた後、治癒力の207%分の回復
フウカ（正月）	給食部のおせち	味方1人のスキルコストを最大で50%減少(EXスキルの使用1回分)\n(ただし減少値は小数点以下切り捨て)\nさらに会心ダメージ率を32.1%増加(35秒間)
セナ	緊急出動	緊急車両11号に搭乗したセナが登場。\n緊急車両11号はセナの治癒力の25.9%分の値が追加された治癒力を持ちます(50秒間)\n(タクティカルサポートの搭乗物は重複して登場することはできません)\n\nパッシブスキル：現場支援\n緊急車両11号を中心とした円形範囲内の自身を除く味方の攻撃力を22.1%増加、さらに10秒毎に治癒力の19.7%分の回復\n(範囲内にいる間だけ効果を維持)
ハルナ（体操服）	美食家のオススメ	円形範囲内の味方4人を指定した位置に移動させた後、治癒力の119%分の回復
マリー	聖なる加護	味方1人に対して、治癒力の328%分のシールド効果を発動(20秒間)\nさらに弱体状態を1つ解除
イロハ	行きますよ、虎丸	虎丸に搭乗したイロハが登場。虎丸はイロハの攻撃力の38.5%分の値が追加された攻撃力を持ちます。(55秒間)\n虎丸は15秒毎に、スキル「主砲照準、発射」を発動し、敵1人に対して攻撃力の377%分のダメージを与えます。\nさらに砲弾は分裂し、付近の敵2体に対して同じダメージを与えます。(最大2回まで)\n(タクティカルサポートの搭乗物は重複して登場することはできません)
ノドカ	観測支援	円形範囲内の味方に対して、命中値を47.9％増加(30秒間)
ハルカ（正月）	誰が許可しましたか……？	敵1人の会心抵抗値と会心ダメージ抵抗値を41.5%減少(50秒間)\nさらに攻撃力の345%分のダメージ
モエ	鋼鉄の雨	直線範囲内の敵に対して、攻撃力の489%分のダメージ\nさらに攻撃力の66.2%分の火傷持続ダメージを付与(20秒間)
セリナ	集中治療セットA	味方1人を指定して位置に移動させた後、治癒力の228%分の回復
アヤネ（水着）	雨雲号、出撃します！	雨雲号に搭乗したアヤネが登場。雨雲号はアヤネの攻撃力の47.5%、会心値の32.6%分の値が追加された攻撃力及び会心値を持ちます。(30秒間)\n(タクティカルサポートの搭乗物は重複して登場することはできません)\n\n雨雲号は12秒毎にスキル「豪雨ミサイル」を発動し、敵1人に対して攻撃力の401%分のダメージを与えます。(この攻撃は敵の防御力を84%無視します)
